mmsiV1,latV1,lonV1,mmsiV2,latV2,lonV2,DCPA
205452890,53.881125,9.179236699999999,210008000,53.89167,9.1416117,1.4941451587359273
205477000,53.9852783,8.359815,205656000,54.0023333,8.3308333,1.4505182699633454
205555000,53.953635,8.639608299999999,209562000,53.933943299999996,8.655605,1.4868562746628684
209066000,53.9810916,8.4057733,209211000,53.992615,8.36974,1.4793792910531105
209204000,53.877449999999996,8.7125867,209467000,53.9002766,8.6961617,1.491506169324129
209273000,53.941553299999995,8.645523299999999,209664000,53.958653299999995,8.61549,1.4812402366635964
209297000,53.9849183,8.4300733,211104000,53.970286599999994,8.457436699999999,1.369441054820046
210008000,53.883746599999995,9.1035533,210169000,53.878315,9.0795683,1.4903724374005478
210008000,53.940194999999996,8.647649999999999,210604000,53.957429999999995,8.6186167,1.486513235738331
210008000,54.02023,9.298425,210688000,54.00062,9.2926,1.4917221082904386
210008000,54.0439583,9.305015,211141000,54.038141599999996,9.3025167,0.3605826742636665
210169000,54.014913299999996,9.29703,210688000,53.995419999999996,9.290133299999999,1.4774296161325684
210169000,54.038579999999996,9.303664999999999,211141000,54.034665,9.301915,0.25753843739788657
210688000,54.0780366,9.31795,211141000,54.086999999999996,9.323,0.5924671130921668
